"year","age3_m","age4_m","age5_m","age6_m","age7_m","age4_r","age5_r","age6_r","age7_r","age8_r","type"
1995,11,141,117,9,2,0,13,18,4,0,"raw"
1996,5,205,95,8,0,1,13,9,2,1,"raw"
1999,2,100,72,9,1,0,12,16,3,2,"raw"
2000,0,187,159,15,2,0,17,11,5,0,"raw"
2001,32,389,471,26,0,2,62,30,12,3,"raw"
2002,3,323,88,6,1,2,5,13,3,1,"raw"
2003,0,131,310,38,0,2,28,14,9,1,"raw"
2004,1,232,201,37,0,1,20,35,7,2,"raw"
2005,1,134,240,16,0,1,49,22,10,1,"raw"
2008,16,206,145,11,0,4,34,45,7,3,"raw"
2009,1,198,81,2,0,0,33,15,3,7,"raw"
2011,2,23,11,1,0,0,0,0,0,0,"raw"
2012,1,28,22,1,0,0,2,2,1,0,"raw"
2013,0,128,158,9,0,0,24,10,0,0,"raw"
2014,0,322,260,13,0,1,38,25,1,0,"raw"
2015,0,155,161,11,0,0,24,18,5,0,"raw"
2016,0,101,92,7,0,0,9,5,0,0,"raw"
2017,0,25,58,5,0,0,6,3,0,0,"raw"
2018,0,33,10,1,0,0,0,5,0,0,"raw"
2019,0,7,7,0,0,0,1,1,0,0,"raw"
2020,0,225,122,4,0,0,14,12,0,0,"raw"
2021,0,41,91,1,0,0,19,9,0,0,"raw"
2022,0,127,47,2,0,0,6,6,1,0,"raw"
