"year","age2_m","age3_m","age4_m","age5_m","age6_m","age7_m","age8_m","age4_r","age5_r","age6_r","age7_r","age8_r","age9_r","type"
1972,0,0,4,1,0,0,0,0,0,0,0,0,0,"raw"
1974,0,0,3,1,0,0,0,0,1,0,0,0,0,"raw"
1975,0,1,121,93,10,0,0,2,12,11,2,0,0,"raw"
1976,0,0,41,59,6,0,0,0,12,6,0,0,0,"raw"
1977,0,1,65,19,3,0,0,0,3,7,0,0,0,"raw"
1978,0,0,52,61,5,0,0,0,7,2,0,0,0,"raw"
1979,0,5,78,91,3,0,0,0,21,13,0,0,0,"raw"
1980,0,0,108,47,3,1,0,5,7,2,1,0,0,"raw"
1981,0,1,72,175,8,1,0,2,31,12,2,0,0,"raw"
1982,0,1,205,202,18,0,0,1,16,37,7,0,0,"raw"
1983,0,0,13,22,4,0,0,0,2,0,0,0,0,"raw"
1984,0,0,26,9,0,0,0,0,0,1,2,0,0,"raw"
1986,0,3,122,254,33,1,0,3,34,30,10,2,0,"raw"
1987,0,9,162,183,45,1,1,1,16,38,18,6,0,"raw"
1988,0,4,245,223,43,0,0,3,19,33,6,0,1,"raw"
1989,0,4,171,281,35,0,0,0,30,28,6,0,1,"raw"
1990,0,5,297,194,60,0,0,4,24,34,4,0,0,"raw"
1991,0,1,207,264,24,4,0,1,17,25,11,0,1,"raw"
1992,0,0,264,238,16,0,0,0,12,17,2,0,0,"raw"
1993,0,2,167,228,24,1,0,0,19,12,6,0,0,"raw"
1994,0,1,143,210,21,1,0,3,27,20,8,1,0,"raw"
1995,0,8,141,134,25,1,0,0,6,21,4,0,0,"raw"
1996,0,1,201,124,14,0,0,3,15,8,5,1,0,"raw"
1997,0,1,170,150,11,0,0,0,16,18,2,1,0,"raw"
1998,0,0,73,161,9,0,0,1,8,15,3,0,0,"raw"
1999,0,5,70,70,14,0,0,1,4,8,2,0,0,"raw"
2000,0,3,109,97,11,0,0,3,6,8,4,0,0,"raw"
2001,0,4,134,206,7,0,0,2,21,20,4,0,0,"raw"
2002,0,0,200,144,19,1,0,1,12,24,10,0,0,"raw"
2003,0,3,123,232,36,2,0,1,24,18,5,0,0,"raw"
2004,0,2,316,221,42,3,0,0,18,32,7,0,0,"raw"
2005,0,1,97,228,27,2,0,1,28,14,3,0,0,"raw"
2006,0,4,191,203,40,3,0,0,12,26,1,0,0,"raw"
2007,0,1,69,157,38,0,0,1,11,14,10,0,0,"raw"
2008,0,0,76,78,17,0,0,0,18,13,0,0,0,"raw"
2009,0,0,190,90,10,1,0,0,13,20,0,0,0,"raw"
2010,0,2,186,83,2,0,0,1,37,3,0,0,0,"raw"
2011,0,3,120,220,27,0,0,0,24,5,0,0,0,"raw"
2012,0,4,240,303,32,0,0,1,22,7,0,0,0,"raw"
2013,0,2,118,258,34,1,0,0,35,13,1,0,0,"raw"
2014,0,2,276,277,36,0,0,3,23,14,0,0,0,"raw"
2015,0,0,202,227,18,0,0,0,27,14,0,0,0,"raw"
2016,0,1,171,343,36,0,0,0,17,7,0,0,0,"raw"
2017,0,0,38,158,22,0,0,0,10,3,0,0,0,"raw"
2018,0,2,150,150,28,0,0,0,10,7,0,0,0,"raw"
2019,0,1,77,214,28,1,0,0,22,9,0,0,0,"raw"
2020,0,0,76,98,5,0,0,0,2,2,0,0,0,"raw"
2021,1,0,6,27,1,0,0,0,0,0,0,0,0,"raw"
2022,0,2,32,14,1,0,0,0,3,2,0,0,0,"raw"
2023,0,0,42,44,3,0,0,3,11,8,1,0,0,"raw"
