year,North,Willapa,Palix,Nemah,Naselle,Bear
2004,898,1560,226,908,1856,461
2005,346,822,70,482,894,117
2006,616,1114,44,462,996,257
2007,442,668,38,350,617,176
2008,432,557,60,228,484,116
2009,348,368,62,360,547,150
2010,820,942,178,588,1082,358
2011,858,594,42,258,1061,130
2012,492,364,196,436,831,160
2013,598,750,120,452,853,258
2014,601,530,144,306,592,180
2015,816,1168,268,746,1125,302
2016,358,686,84,408,931,266
2017,708,746,216,527,683,116
2018,356,348,45,305,328,122
2019,732,1226,138,678,1020,308
2020,684,950,90,579,1308,252
2021,720,678,52,284,1137,118
